     Otras oleaginosas ;491;26,2;34,7;280;7,3;2;0,82;0,27;5,7;-;#VALOR!
     Camarones ;86;17,3;0,2;94;1,6;-;0,04;0,1;1,5;-;#VALOR!
     Ajos ;137;6,2;0,2;29;1,5;0;0,25;0,08;1,2;-;#VALOR!
     Caf� tostado;226;12,6;14,8;148;2,9;-;0,07;0,05;17;0;#VALOR!
     Aj� pimiento ;24;1,1;0,2;6;0,7;505;0,05;0,06;0,8;87;87,12515
     Papayas ;26;0,4;0,1;16;0,3;660;0,02;0,03;0,3;42;42,0698
     Naranjas ;32;0,6;0,1;24;0,3;120;0,06;0,02;0,1;36;36,0836
     Repollo ;17;1,1;0,1;35;0,3;70;0,04;0,03;0,2;35;35,0721
     Uvas pasas ;56;1,4;0,4;35;0,9;120;0,04;0,02;0,1;35;35,0636
     Otras hortalizas frescas (6);22;1,4;0,2;51;1,1;1900;0,06;0,07;0,5;30;30,187
     Mangos ;40;0,4;0,1;7;0,2;1180;0,03;0,04;0,4;30;30,1054
     Papa ;70;1,7;0,1;7;0,6;0;0,08;0,03;1,2;28;28,11
     Yuca ;109;0,9;0,2;25;0,5;0;0,04;0,02;0,4;27;27,06
     Pi�as;30;0,3;0,1;12;0,3;60;0,05;0,02;0,1;26;26,0718
     Otras frutas tropicales ;41;0,5;0,7;14;0,3;400;0,03;0,03;0,3;24;24,072
     Tomate ;19;1,1;0,3;11;0,6;680;0,06;0,04;0,5;23;23,1204
     Melones ;14;0,4;0,1;11;0,2;670;0,03;0,02;0,3;17;17,0701
     Lechuga ;10;0,9;0,1;17;0,3;170;0,03;0,06;0,1;12;12,0951
     Chayote ;26;0,8;0,2;9;0,5;30;0,02;0,03;0,3;12;12,0509
     Otras frutas no tropicales ;52;0,6;0,6;13;0,4;347;0,04;0,04;0,3;11;11,09041
     Pl�tanos ;75;0,8;0,3;5;0,5;220;0,04;0,03;0,4;11;11,0766
     �ame ;90;2,1;0,2;19;0,7;0;0,08;0,03;0,4;9;9,11
     Mameyes ;30;0,4;0,2;8;0,2;170;0,01;0,02;0,3;9;9,0351
     Aguacates ;111;1,1;11;9;0,5;180;0,05;0,2;1;8;8,2554
     Otoe ;109;1,7;0,3;10;0,9;0;0,07;0,02;0,5;8;8,09
     Bananos o guineos ;67;0,9;0,3;6;0,4;140;0,03;0,04;0,5;8;8,0742
     Cebolla ;37;1,3;0,2;30;0,5;50;0,03;0,04;0,2;8;8,0715
     Despojos, v�sceras (cerdo) ;125;17;4,9;11;15,4;2062;0,26;1,71;7,2;6;8,03186
     Remolacha ;32;1,3;0,1;20;0,7;15;0,01;0,04;0,3;7;7,05045
Despojos viceras (res);145;15,5;8;12;8,2;3272;0,34;0,87;4,4;5;6,30816
     Zanahoria ;37;1;0,2;31;0,7;1840;0,06;0,04;0,6;6;6,1552
     Pepino ;10;0,6;0,1;7;0,2;0;0,02;0,03;0,1;6;6,05
     T� ;308;8;4;400;11,9;0;0,08;0,73;6,5;5;5,81
     Otras leguminosas secas ;351;21,8;3,3;120;5,4;200;0,47;0,24;2;5;5,716
     Leche en polvo ;492;26;27;897;0,2;1080;0,24;1,31;0,7;4;5,5824
     Frutas en conservas ;73;0,5;0,1;22;0,9;188;0,28;0,2;0,3;5;5,48564
    Ma�z nuevo ;35;1,3;0,5;2;0,2;130;0,06;0,03;0,6;5;5,0939
     Arvejas y guisantes;346;22,5;1,8;64;4,8;100;0,72;0,15;2,4;4;4,873
     Guand� ;343;20,9;1,7;129;5,8;130;0,5;0,14;2,3;4;4,6439
     Uvas ;62;0,7;0,4;16;0,6;70;0,06;0,04;0,2;4;4,1021
     Manzanas ;49;0,3;0,3;5;0,3;80;0,03;0,03;0,2;4;4,0624
     Apio ;12;0,7;0,1;31;0,3;0;0,03;0,02;0,2;4;4,05
     Frijol ;341;22,1;1,7;137;6,7;30;0,54;0,18;2,1;3;3,7209
     Lentejas ;346;24,2;1,8;56;6,1;100;0,5;0,21;1,8;3;3,713
     Cacao en polvo ;456;12;46,3;106;3,6;15;0,17;0,14;1,7;3;3,31045
     Poroto ;342;23,4;1,8;76;5,7;40;0,92;0,18;1,9;2;3,1012
     Peras ;50;0,4;0,3;11;0,2;20;0,02;0,03;0,1;3;3,0506
     Sand�as ;13;0,3;0,1;3;0,2;90;0,02;0,02;0,1;3;3,0427
     Panela ;356;0,4;0,5;51;4,2;0;0,02;0,11;0,3;2;2,13
     Conservas ;23;1,2;0,2;15;0,8;938;0,04;0,04;0,7;2;2,10814
     Leche condensada ;320;8,1;8,4;293;0,2;330;0,05;0,43;0,2;1;1,4899
     Leche evaporada ;138;7;7,9;240;0,2;320;0,05;0,35;0,2;1;1,4096
     Leche fresca y pasteurizada;65;3,5;3,5;119;0,1;140;0,04;0,18;0,1;1;1,2242
     Coco (2) ;111;1,7;10,4;4;0,6;0;0,03;0,01;0,3;1;1,04
     Ajonjol� ;574;18,1;51,3;1200;9;0;0,8;0,22;4,5;0;1,02
     Man� ;546;25,6;43,3;52;1,9;30;0,84;0,12;16;0;0,9609
    Trigo ;332;12,3;2,1;40;3,6;0;0,67;0,12;4,1;0;0,79
    Crema de avena ;390;14,2;7,4;53;4,5;0;0,6;0,14;1;0;0,74
    Harina de trigo (1) ;364;10,5;1;110;2,9;0;0,44;0,26;3,5;0;0,7
     Queso ;341;34;21;950;1,4;950;0,02;0,61;0,2;0;0,6585
Ensaldas;222;15,2;16,4;10;2,4;2;0,5;0,13;2,8;0;0,63006
    Avena ;370;11,6;3,1;64;4,9;0;0,5;0,09;1;0;0,59
    Ma�z ;356;9,5;4,3;7;2,3;420;0,45;0,11;2;0;0,5726
     Nueces ;610;16;58;100;3;0;0,32;0,25;1,5;0;0,57
     Cerdo (4);175;12,6;13,5;6;13;0;0,38;0,11;2,5;0;0,49
     Cacao en grano ;351;8;24;125;11,6;30;0,1;0,36;1,7;0;0,4609
     Huevos de gallina ;144;11;10,4;44;2,2;890;0,09;0,27;0,1;0;0,3867
     Caf� (9) ;33;5;1,7;83;3,3;0;0,17;0,17;15;0;0,34
    Cebada ;344;9,5;1,1;12;2,1;0;0,27;0,06;4,8;0;0,33
    Galletas;435;9,6;13,2;49;1,6;0;0,13;0,13;1,1;0;0,26
    Derivados del ma�z ;330;4,1;1;7;0,8;254;0,18;0,07;0,8;0;0,25762
     At�n y sardina ;251;21;17,5;42;1,3;110;0,05;0,2;3,3;0;0,2533
     Pescados frescos ;132;18,8;5,7;31;1;50;0,06;0,15;2,5;0;0,2115
     Extracto de caf� ;129;-;-;179;5,6;0;0;0,21;30,6;0;0,21
     Frutas secas ;255;2,5;0,6;73;2,7;70;0,1;0,1;1,5;0;0,2021
    Pan ;303;9,8;1,3;38;2,4;0;0,12;0,08;1,5;0;0,2
     Res (3) ;187;15,2;13,5;9;1,8;25;0,05;0,14;3,2;0;0,19075
     Miel de ca�a ;259;-;-;60;3,6;0;0,13;0,06;0,1;0;0,19
     Confiter�a y caramelos ;345;1,5;6,9;57;2,8;37;0,04;0,13;1;0;0,17111
    Pastas alimenticias ;367;11;1,1;16;1;0;0,13;0,04;1,1;0;0,17
     Gallina ;122;12,3;7,7;7;0,9;250;0,06;0,1;4,9;0;0,1675
     Derivados del pl�tano ;305;2,8;0,4;22;1,3;190;0,09;0,07;1,3;0;0,1657
     Preparado de chocolate ;248;3,8;16,8;46;2,8;5;0,05;0,09;0,5;0;0,14015
    Arroz ;360;6,7;0,7;10;0,9;0;0,08;0,03;1,6;0;0,11
    Derivados del arroz ;364;7,2;0,6;9;1,3;0;0,08;0,03;1,6;0;0,11
     Mantequilla y margarina ;718;0,6;81;15;0;3200;0;0;0;0;0,096
     Chocolates varios ;507;4,2;35,7;30;2,6;20;0,01;0,08;0,5;0;0,0906
     Cerveza (7) ;28;0;0;6;0,1;0;0,01;0,03;0,3;0;0,04
     Az�car de ca�a cruda ;351;1;-;78;5;0;0;0;0;0;0
     Az�car de ca�a refinada ;387;-;-;0;0;0;0;0;0;0;0
     Glucosa, levulosa y dextrosa ;350;0;0;0;0;0;0;0;0;0;0
     Bacalao;130;29;0,7;225;0;0;0;0;0;0;0
     Aceites vegetales ;884;0;100;0;0;0;0;0;0;0;0
     Vinos (7) ;78;0;0;0;0;0;0;0;0;0;0
     Licores (7) ;249;0;0;0;0;0;0;0;0;0;0
     Torta y pasta de cacao ;884;0;100;0;0;0;0;0;0;0;0